,year,mmwr_week,Reporting Area,Meningococcal disease (continued); Other serogroups current week,Meningococcal disease (continued); Other serogroups previous 52 weeks maximum�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2019�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2018�,Meningococcal disease (continued); Unknown serogroup current week,Meningococcal disease (continued); Unknown serogroup previous 52 weeks maximum�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2019�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2018�,column labels in same order that data fields appears in each record below:
69,2019,3,Pacific,0,1,0,0,0,4,4,8,
70,2019,3,Alaska,0,0,0,0,0,0,0,0,
71,2019,3,California,0,0,0,0,0,3,2,8,
72,2019,3,Hawaii,0,0,0,0,0,1,0,0,
73,2019,3,Oregon,0,0,0,0,0,2,2,0,
74,2019,3,Washington,0,1,0,0,0,2,0,0,
75,2019,3,U.S. Territories,0,0,0,0,0,0,0,0,
76,2019,3,American Samoa,0,0,0,0,0,0,0,0,
77,2019,3,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
78,2019,3,Guam,0,0,0,0,0,0,0,0,
79,2019,3,Puerto Rico,0,0,0,0,0,0,0,0,
80,2019,3,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
81,2019,3,Non-U.S. Residents,0,NC,0,NP,0,NC,0,NP,
82,2019,3,Total,0,3,0,3,1,7,6,13,
13,2019,4,"U.S. Residents, excluding U.S. Territories",0,3,0,3,3,7,9,18,
14,2019,4,New England,0,0,0,0,0,1,0,0,
15,2019,4,Connecticut,0,0,0,0,0,1,0,0,
16,2019,4,Maine,0,0,0,0,0,0,0,0,
17,2019,4,Massachusetts,0,0,0,0,0,1,0,0,
18,2019,4,New Hampshire,0,0,0,0,0,0,0,0,
19,2019,4,Rhode Island,0,0,0,0,0,0,0,0,
20,2019,4,Vermont,0,0,0,0,0,0,0,0,
21,2019,4,Middle Atlantic,0,1,0,0,1,3,2,1,
22,2019,4,New Jersey,0,0,0,0,0,1,0,1,
23,2019,4,New York (excluding New York City),0,1,0,0,1,1,1,0,
