,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive, all serogroups current week","Meningococcal diseases, invasive, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive, all serogroups cummulative for 2006","Meningococcal diseases, invasive, all serogroups cummulative for 2005","Meningococcal diseases, invasive, serogroup unknown current week","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks median ","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks maximum ","Meningococcal diseases, invasive, serogroup unknown cummulative for 2006","Meningococcal diseases, invasive, serogroup unknown cummulative for 2005",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2006,Pertussis cummulative for 2005
42,2006,2,Iowa,0,0,2,0,0,0,0,2,0,0,0,13,91,0,57
43,2006,2,Kans.,0,0,1,0,1,0,0,1,0,1,1,10,29,2,13
44,2006,2,Minn.,0,0,2,0,0,0,0,1,0,0,0,2,148,0,0
45,2006,2,Mo.,0,0,3,0,4,0,0,2,0,2,5,9,39,15,18
46,2006,2,Nebr.,0,0,1,0,0,0,0,1,0,0,0,2,12,0,13
47,2006,2,N. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,28,0,6
48,2006,2,S. Dak.,0,0,1,0,0,0,0,0,0,0,0,3,9,0,23
49,2006,2,S. ATLANTIC,0,4,11,1,10,0,2,6,1,6,9,23,90,28,51
50,2006,2,Del.,0,0,1,0,0,0,0,1,0,0,0,0,3,0,4
51,2006,2,D.C.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
52,2006,2,Fla.,0,1,7,1,2,0,1,6,1,1,7,4,14,11,5
53,2006,2,Ga.,0,0,2,0,4,0,0,2,0,4,0,1,3,0,5
54,2006,2,Md.,0,0,2,0,1,0,0,1,0,0,1,4,8,7,15
55,2006,2,N.C.,0,0,6,0,1,0,0,2,0,0,0,0,21,8,0
56,2006,2,S.C.,0,0,2,0,2,0,0,1,0,1,1,7,17,2,22
57,2006,2,Va.,0,0,3,0,0,0,0,1,0,0,0,2,72,0,0
58,2006,2,W. Va.,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0
59,2006,2,E.S. CENTRAL,0,1,4,1,0,0,1,4,1,0,0,8,23,1,9
60,2006,2,Ala.,0,0,1,0,0,0,0,1,0,0,0,1,9,1,5
61,2006,2,Ky.,0,0,3,0,0,0,0,3,0,0,0,3,11,0,1
62,2006,2,Miss.,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0
63,2006,2,Tenn.,0,0,2,1,0,0,0,1,1,0,0,4,17,0,3
64,2006,2,W.S. CENTRAL,0,2,6,1,4,0,0,3,1,2,2,36,114,2,1
65,2006,2,Ark.,0,0,3,1,0,0,0,1,1,0,2,5,19,2,0
66,2006,2,La.,0,0,3,0,3,0,0,1,0,1,0,0,3,0,0
67,2006,2,Okla.,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
68,2006,2,Tex.,0,0,4,0,1,0,0,3,0,1,0,28,98,0,1
69,2006,2,MOUNTAIN,0,1,7,4,2,0,1,5,3,1,17,77,143,57,127
70,2006,2,Ariz.,0,0,5,0,1,0,0,5,0,0,0,15,86,0,7
71,2006,2,Colo.,0,0,3,3,1,0,0,2,2,1,0,24,55,32,89
72,2006,2,Idaho,0,0,2,0,0,0,0,2,0,0,0,3,19,0,3
73,2006,2,Mont.,0,0,0,0,0,0,0,0,0,0,2,9,58,4,17
74,2006,2,Nev.,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0
75,2006,2,N. Mex.,0,0,2,0,0,0,0,2,0,0,0,3,9,0,7
76,2006,2,Utah,0,0,2,1,0,0,0,1,1,0,12,12,35,18,1
77,2006,2,Wyo.,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3
78,2006,2,PACIFIC,1,3,27,2,11,1,3,13,2,7,1,56,170,1,255
