,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2016,Lyme disease cummulative for 2015,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2016,Malaria cummulative for 2015,"Meningococcal disease, invasive�, All groups current week","Meningococcal disease, invasive�, All groups previous 52 weeks median ","Meningococcal disease, invasive�, All groups previous 52 weeks maximum ","Meningococcal disease, invasive�, All groups cummulative for 2016","Meningococcal disease, invasive�, All groups cummulative for 2015"
35,2016,3,E.N. CENTRAL,1,21,175,2,18,0,2,6,3,10,1,1,5,1,2
36,2016,3,Ill.,0,2,28,0,3,0,1,3,1,6,0,0,2,0,1
37,2016,3,Ind.,0,0,7,0,1,0,0,1,0,0,0,0,1,0,0
38,2016,3,Mich.,0,2,11,1,1,0,0,2,1,0,0,0,1,0,0
39,2016,3,Ohio,1,2,18,1,3,0,0,3,1,3,1,0,4,1,0
40,2016,3,Wis.,0,14,130,0,10,0,0,1,0,1,0,0,2,0,1
41,2016,3,W.N. CENTRAL,0,4,30,1,2,1,0,3,1,3,0,0,3,0,0
42,2016,3,Iowa,0,2,28,1,2,0,0,2,0,0,0,0,1,0,0
43,2016,3,Kans.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
44,2016,3,Minn.,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
45,2016,3,Mo.,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
46,2016,3,Nebr.,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0
47,2016,3,N. Dak.,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
48,2016,3,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2016,3,S. ATLANTIC,7,69,234,34,63,4,6,15,8,17,0,1,4,1,11
50,2016,3,Del.,1,7,30,14,4,0,0,1,0,0,0,0,0,0,0
51,2016,3,D.C.,0,1,8,0,5,0,0,1,0,0,0,0,1,0,0
52,2016,3,Fla.,4,3,15,6,2,1,1,3,4,4,0,0,3,1,3
53,2016,3,Ga.,0,0,0,0,0,0,1,8,1,5,0,0,2,0,3
54,2016,3,Md.,2,25,111,10,28,2,2,9,2,1,0,0,1,0,1
55,2016,3,N.C.,0,0,57,0,3,0,0,5,0,1,0,0,1,0,1
56,2016,3,S.C.,0,1,3,1,1,0,0,1,0,1,0,0,2,0,0
57,2016,3,Va.,0,23,95,2,12,1,1,5,1,5,0,0,2,0,3
58,2016,3,W. Va.,0,3,24,1,8,0,0,1,0,0,0,0,1,0,0
59,2016,3,E.S. CENTRAL,1,2,12,2,2,0,0,4,3,2,0,0,2,0,0
60,2016,3,Ala.,0,0,4,1,2,0,0,2,1,2,0,0,1,0,0
61,2016,3,Ky.,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0
62,2016,3,Miss.,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
63,2016,3,Tenn.,1,0,4,1,0,0,0,1,1,0,0,0,1,0,0
64,2016,3,W.S. CENTRAL,0,1,6,0,0,0,1,9,1,4,0,1,5,2,1
65,2016,3,Ark.,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0
66,2016,3,La.,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0
67,2016,3,Okla.,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
68,2016,3,Tex.,0,1,6,0,0,0,1,8,1,2,0,0,3,0,1
69,2016,3,MOUNTAIN,0,1,2,0,2,0,1,3,0,1,0,0,3,0,0
70,2016,3,Ariz.,0,0,2,0,2,0,0,2,0,1,0,0,1,0,0
71,2016,3,Colo.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
72,2016,3,Idaho,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
73,2016,3,Mont.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
74,2016,3,Nev.,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
75,2016,3,N. Mex.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
76,2016,3,Utah,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
77,2016,3,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,2016,3,PACIFIC,0,2,12,0,4,0,2,7,2,10,0,2,7,6,7
79,2016,3,Alaska,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0
80,2016,3,Calif.,0,1,9,0,2,0,2,6,0,7,0,1,4,3,6
81,2016,3,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,2,0,0
82,2016,3,Oreg.,0,0,3,0,1,0,0,2,2,3,0,0,3,3,1
83,2016,3,Wash.,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0
84,2016,3,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2016,3,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2016,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2016,3,P.R.,N,0,0,N,N,0,0,5,0,0,0,0,0,0,0
88,2016,3,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
22,2016,4,UNITED STATES,53,436,"2,251",372,641,4,21,56,39,78,0,6,15,14,35
