,year,mmwr_week,Reporting Area,Malaria cummulative for 2003,Malaria cummulative for 2002,Meningococcal Disease cummulative for 2003,Meningococcal Disease cummulative for 2002,Pertussis cummulative for 2003,Pertussis cummulative for 2002,"Rabies, Animal cummulative for 2003","Rabies, Animal cummulative for 2002",Rocky Mountain Spotted Fever cummulative for 2003,Rocky Mountain Spotted Fever cummulative for 2002
69,2003,3,N. Mex.,0,0,1,0,0,5,0,0,0,0
70,2003,3,Ariz.,0,0,1,0,10,0,4,5,0,0
71,2003,3,Utah,0,0,0,0,2,1,0,0,0,0
72,2003,3,Nev.,0,0,0,3,2,1,0,0,0,0
73,2003,3,PACIFIC,3,15,5,16,6,22,0,8,0,0
74,2003,3,Wash.,0,0,0,1,0,0,0,0,0,0
75,2003,3,Oreg.,3,0,5,6,6,6,0,0,0,0
76,2003,3,Calif.,0,13,0,9,0,15,0,4,0,0
77,2003,3,Alaska,0,0,0,0,0,0,0,4,0,0
78,2003,3,Hawaii,0,2,0,0,0,1,0,0,0,0
79,2003,3,Guam,0,0,0,0,0,0,0,0,0,0
80,2003,3,P.R.,0,0,0,0,0,0,0,4,0,0
81,2003,3,V.I.,0,0,0,0,0,0,0,0,0,0
82,2003,3,Amer. Samoa,U,U,U,U,U,U,U,U,U,U
83,2003,3,C.N.M.I.,0,U,0,U,0,U,0,U,0,U
17,2003,4,UNITED STATES,51,68,77,115,179,297,188,361,17,20
18,2003,4,NEW ENGLAND,1,7,4,9,51,83,31,24,0,0
19,2003,4,Maine,1,0,0,1,0,3,0,2,0,0
20,2003,4,N.H.,0,3,0,0,0,0,2,0,0,0
21,2003,4,Vt.,0,0,0,2,12,13,2,4,0,0
22,2003,4,Mass.,0,3,3,6,39,62,13,7,0,0
23,2003,4,R.I.,0,0,0,0,0,0,0,2,0,0
24,2003,4,Conn.,0,1,1,0,0,5,14,9,0,0
25,2003,4,MID. ATLANTIC,21,17,3,18,7,6,21,46,1,2
26,2003,4,Upstate N.Y.,1,1,0,5,7,4,14,33,0,0
27,2003,4,N.Y. City,20,7,2,3,0,2,5,0,1,0
28,2003,4,N.J.,0,8,0,3,0,0,0,8,0,0
29,2003,4,Pa.,0,1,1,7,0,0,2,5,0,2
30,2003,4,E.N. CENTRAL,4,8,13,18,24,41,1,1,1,1
31,2003,4,Ohio,2,3,6,10,22,18,0,0,1,1
32,2003,4,Ind.,0,0,3,0,0,0,0,1,0,0
33,2003,4,Ill.,0,3,0,2,0,8,0,0,0,0
34,2003,4,Mich.,2,2,3,3,2,4,1,0,0,0
35,2003,4,Wis.,0,0,1,3,0,11,0,0,0,0
36,2003,4,W.N. CENTRAL,4,4,6,6,10,32,30,29,1,0
37,2003,4,Minn.,2,0,1,0,0,0,3,1,0,0
38,2003,4,Iowa,2,1,2,0,0,15,3,3,1,0
39,2003,4,Mo.,0,2,1,4,6,11,0,0,0,0
40,2003,4,N. Dak.,0,0,0,0,0,0,5,0,0,0
41,2003,4,S. Dak.,0,0,0,1,0,0,0,13,0,0
42,2003,4,Nebr.,0,0,0,1,0,0,0,0,0,0
43,2003,4,Kans.,0,1,2,0,4,6,19,12,0,0
44,2003,4,S. ATLANTIC,13,8,18,12,36,14,93,77,13,16
45,2003,4,Del.,0,0,3,0,0,1,0,0,0,0
46,2003,4,Md.,5,5,2,1,7,3,2,24,4,4
47,2003,4,D.C.,0,1,0,0,0,0,0,0,0,0
48,2003,4,Va.,0,0,0,0,0,0,15,17,0,0
49,2003,4,W. Va.,1,0,0,0,0,0,4,7,0,0
50,2003,4,N.C.,0,2,3,1,12,7,27,26,9,12
51,2003,4,S.C.,0,0,0,0,0,2,8,3,0,0
52,2003,4,Ga.,1,0,1,3,13,0,35,0,0,0
53,2003,4,Fla.,6,0,9,7,4,1,2,0,0,0
54,2003,4,E.S. CENTRAL,1,3,7,4,5,14,1,108,0,1
55,2003,4,Ky.,0,0,0,0,1,5,0,0,0,0
56,2003,4,Tenn.,0,1,2,0,0,2,0,108,0,1
57,2003,4,Ala.,1,1,2,4,4,1,1,0,0,0
58,2003,4,Miss.,0,1,3,0,0,6,0,0,0,0
59,2003,4,W.S. CENTRAL,1,1,5,18,0,35,3,56,0,0
60,2003,4,Ark.,0,0,1,3,0,32,0,0,0,0
61,2003,4,La.,1,1,3,1,0,0,0,0,0,0
62,2003,4,Okla.,0,0,1,0,0,1,3,8,0,0
63,2003,4,Tex.,0,0,0,14,0,2,0,48,0,0
64,2003,4,MOUNTAIN,0,1,4,10,40,39,6,8,0,0
65,2003,4,Mont.,0,0,0,0,0,1,1,0,0,0
66,2003,4,Idaho,0,0,0,0,1,4,0,0,0,0
67,2003,4,Wyo.,0,0,0,0,0,1,0,1,0,0
68,2003,4,Colo.,0,0,0,4,19,23,0,0,0,0
69,2003,4,N. Mex.,0,0,1,0,1,8,0,0,0,0
70,2003,4,Ariz.,0,0,3,2,13,0,5,7,0,0
71,2003,4,Utah,0,0,0,0,3,1,0,0,0,0
72,2003,4,Nev.,0,1,0,4,3,1,0,0,0,0
73,2003,4,PACIFIC,6,19,17,20,6,33,2,12,1,0
74,2003,4,Wash.,2,0,2,2,0,0,0,0,0,0
75,2003,4,Oreg.,3,0,5,6,6,11,0,0,0,0
76,2003,4,Calif.,1,17,10,12,0,21,2,4,1,0
77,2003,4,Alaska,0,0,0,0,0,0,0,8,0,0
78,2003,4,Hawaii,0,2,0,0,0,1,0,0,0,0
79,2003,4,Guam,0,0,0,0,0,0,0,0,0,0
80,2003,4,P.R.,0,0,0,1,0,0,0,6,0,0
81,2003,4,V.I.,0,0,0,0,0,0,0,0,0,0
82,2003,4,Amer. Samoa,U,U,U,U,U,U,U,U,U,U
83,2003,4,C.N.M.I.,0,U,0,U,0,U,0,U,0,U
17,2003,5,UNITED STATES,68,82,95,163,264,408,259,451,19,25
18,2003,5,NEW ENGLAND,1,8,4,10,62,100,38,40,0,0
19,2003,5,Maine,1,0,0,1,0,3,0,2,0,0
20,2003,5,N.H.,0,3,0,1,0,0,2,0,0,0
21,2003,5,Vt.,0,0,0,2,14,14,2,11,0,0
22,2003,5,Mass.,0,3,3,6,48,78,15,14,0,0
23,2003,5,R.I.,0,0,0,0,0,0,0,2,0,0
24,2003,5,Conn.,0,2,1,0,0,5,19,11,0,0
25,2003,5,MID. ATLANTIC,26,18,7,23,20,15,25,64,1,3
26,2003,5,Upstate N.Y.,2,1,2,6,20,12,18,43,0,0
27,2003,5,N.Y. City,24,7,4,4,0,3,5,2,1,0
28,2003,5,N.J.,0,9,0,3,0,0,0,10,0,0
29,2003,5,Pa.,0,1,1,10,0,0,2,9,0,3
30,2003,5,E.N. CENTRAL,4,10,15,28,36,56,1,1,1,1
31,2003,5,Ohio,2,3,6,14,32,27,0,0,1,1
32,2003,5,Ind.,0,0,4,4,0,0,0,1,0,0
33,2003,5,Ill.,0,4,0,2,0,8,0,0,0,0
34,2003,5,Mich.,2,3,4,4,3,9,1,0,0,0
35,2003,5,Wis.,0,0,1,4,1,12,0,0,0,0
36,2003,5,W.N. CENTRAL,4,4,5,7,10,31,36,31,1,0
37,2003,5,Minn.,2,0,1,0,0,0,3,1,0,0
38,2003,5,Iowa,2,1,2,0,0,6,3,4,1,0
39,2003,5,Mo.,0,2,1,4,6,16,0,0,0,0
40,2003,5,N. Dak.,0,0,0,0,0,0,5,0,0,0
41,2003,5,S. Dak.,0,0,0,1,0,1,0,14,0,0
42,2003,5,Nebr.,0,0,0,1,0,2,0,0,0,0
43,2003,5,Kans.,0,1,1,1,4,6,25,12,0,0
44,2003,5,S. ATLANTIC,22,13,23,20,47,18,140,104,14,20
45,2003,5,Del.,0,0,4,0,0,1,0,0,0,0
46,2003,5,Md.,10,8,2,1,10,4,2,36,4,5
47,2003,5,D.C.,0,2,0,0,0,0,0,0,0,0
48,2003,5,Va.,0,0,0,0,1,3,36,22,0,0
49,2003,5,W. Va.,1,0,0,0,0,0,4,11,0,0
50,2003,5,N.C.,2,2,3,3,17,7,46,32,10,15
51,2003,5,S.C.,0,1,0,0,0,2,11,3,0,0
52,2003,5,Ga.,3,0,1,5,13,0,35,0,0,0
53,2003,5,Fla.,6,0,13,11,6,1,6,0,0,0
54,2003,5,E.S. CENTRAL,2,3,7,8,10,18,4,108,1,1
55,2003,5,Ky.,0,0,0,0,2,6,3,0,0,0
56,2003,5,Tenn.,0,1,2,1,2,5,0,108,1,1
57,2003,5,Ala.,2,1,2,6,6,1,1,0,0,0
58,2003,5,Miss.,0,1,3,1,0,6,0,0,0,0
59,2003,5,W.S. CENTRAL,1,1,6,26,0,65,5,76,0,0
60,2003,5,Ark.,0,0,1,4,0,57,0,0,0,0
61,2003,5,La.,1,1,3,2,0,0,0,0,0,0
62,2003,5,Okla.,0,0,2,1,0,1,5,10,0,0
63,2003,5,Tex.,0,0,0,19,0,7,0,66,0,0
64,2003,5,MOUNTAIN,1,2,4,10,61,55,7,12,0,0
65,2003,5,Mont.,0,0,0,0,0,2,1,0,0,0
66,2003,5,Idaho,0,0,0,0,2,5,0,0,0,0
67,2003,5,Wyo.,0,0,0,0,0,2,0,1,0,0
68,2003,5,Colo.,0,1,0,4,33,32,0,0,0,0
69,2003,5,N. Mex.,0,0,1,0,3,10,0,0,0,0
70,2003,5,Ariz.,1,0,3,2,14,0,6,11,0,0
71,2003,5,Utah,0,0,0,0,6,3,0,0,0,0
72,2003,5,Nev.,0,1,0,4,3,1,0,0,0,0
73,2003,5,PACIFIC,7,23,24,31,18,50,3,15,1,0
74,2003,5,Wash.,2,0,2,6,2,3,0,0,0,0
75,2003,5,Oreg.,4,0,7,6,16,11,0,0,0,0
76,2003,5,Calif.,1,21,14,18,0,33,3,6,1,0
77,2003,5,Alaska,0,0,0,0,0,1,0,9,0,0
78,2003,5,Hawaii,0,2,1,1,0,2,0,0,0,0
79,2003,5,Guam,0,0,0,0,0,0,0,0,0,0
80,2003,5,P.R.,0,0,0,1,0,0,0,8,0,0
81,2003,5,V.I.,0,0,0,0,0,0,0,0,0,0
82,2003,5,Amer. Samoa,U,U,U,U,U,U,U,U,U,U
