,date,year,mmwr_week,total,total_sqrt,total_sqrt_norm,total_detrend
106,2014-11-30,10070,235,16,4.0,-0.32253173249035777,-0.32092895835521096
107,2014-12-31,8056,206,13,3.605551275463989,-0.5499947417466275,-0.5503670993093619
108,2015-01-31,8060,10,11,3.3166247903554,-0.7166072408336583,-0.6967607574233144
109,2015-02-28,8060,26,11,3.3166247903554,-0.7166072408336583,-0.6770654498568701
110,2015-03-31,10075,55,26,5.0990195135927845,0.3112294390972421,0.5882971003125504
111,2015-04-30,8060,62,18,4.242640687119285,-0.18261042605164762,-0.05636345484259262
112,2015-05-31,10075,100,13,3.605551275463989,-0.5499947417466275,-0.4518905614771404
113,2015-06-30,8060,98,10,3.1622776601683795,-0.8056131382255352,-0.6813287024312914
114,2015-07-31,8060,114,9,3.0,-0.8991922592136576,-0.7446778777050458
115,2015-08-31,10075,165,8,2.8284271247461903,-0.9981315638289505,-0.8080270529787998
116,2015-09-30,8060,150,10,3.1622776601683795,-0.8056131382255352,-0.6222427797319587
117,2015-10-31,8060,166,11,3.3166247903554,-0.7166072408336583,-0.519502989325316
118,2015-11-30,10075,230,15,3.872983346207417,-0.3957772229690197,-0.16762975039807804
119,2015-12-31,8060,202,7,2.6457513110645907,-1.103473494766189,-0.8122903055532211
120,2016-01-31,10080,15,13,3.605551275463989,-0.5499947417466275,-0.29432810094558626
121,2016-02-29,8064,30,9,3.0,-0.8991922592136576,-0.6068107247399357
122,2016-03-31,8064,46,18,4.242640687119285,-0.18261042605164762,0.16028492838829445
123,2016-04-30,8064,62,12,3.4641016151377544,-0.631563177375186,-0.31828666108645176
124,2016-05-31,10080,100,17,4.123105625617661,-0.25154157757907625,0.11663106068098433
125,2016-06-30,8064,98,13,3.605551275463989,-0.5499947417466275,-0.19585156311336505
126,2016-07-31,10080,145,12,3.4641016151377544,-0.631563177375186,-0.25920073838711916
127,2016-08-31,8064,134,12,3.4641016151377544,-0.631563177375186,-0.23950543082067485
128,2016-09-30,8064,150,5,2.23606797749979,-1.3397217016894245,-0.8011215031356195
129,2016-10-31,10080,210,9,3.0,-0.8991922592136576,-0.4492482642083815
130,2016-11-30,8064,186,8,2.8284271247461903,-0.9981315638289505,-0.5125974394821357
131,2016-12-31,8064,202,12,3.4641016151377544,-0.631563177375186,-0.16072420055489764
132,2017-01-31,10085,15,23,4.795831523312719,0.13639289292616089,0.7724604182537292
133,2017-02-28,8068,30,13,3.605551275463989,-0.5499947417466275,-0.038289102581810903
134,2017-03-31,8068,46,17,4.123105625617661,-0.25154157757907625,0.3135841363454271
135,2017-04-30,10085,80,12,3.4641016151377544,-0.631563177375186,-0.08194297028912043
136,2017-05-31,8068,82,13,3.605551275463989,-0.5499947417466275,0.020796820117522007
137,2017-06-30,8068,98,7,2.6457513110645907,-1.103473494766189,-0.4577747693572239
138,2017-07-31,10085,145,10,3.1622776601683795,-0.8056131382255352,-0.18894601327018465
139,2017-08-31,8068,134,6,2.449489742783178,-1.2166497941068894,-0.5014286370645343
140,2017-09-30,8068,150,7,2.6457513110645907,-1.103473494766189,-0.3986888466578913
141,2017-10-31,10085,210,18,4.242640687119285,-0.18261042605164762,0.5344957721507353
142,2017-11-30,8068,186,11,3.3166247903554,-0.7166072408336583,-0.027120300164209004
143,2017-12-31,10086,203,12,3.4641016151377544,-0.631563177375186,0.07561949024243342
144,2018-01-31,8072,14,17,4.123105625617661,-0.25154157757907625,0.5105372120098701
145,2018-02-28,8072,30,11,3.3166247903554,-0.7166072408336583,0.03196562253512361
146,2018-03-31,8072,46,13,3.605551275463989,-0.5499947417466275,0.21774989578196505
147,2018-04-30,10090,80,16,4.0,-0.32253173249035777,0.48657865186900434
148,2018-05-31,8072,82,16,4.0,-0.32253173249035777,0.5062739594354483
149,2018-06-30,8072,98,10,3.1622776601683795,-0.8056131382255352,0.02770236996070241
150,2018-07-31,10090,145,7,2.6457513110645907,-1.103473494766189,-0.20173577099344883
151,2018-08-31,8072,134,7,2.6457513110645907,-1.103473494766189,-0.18204046342700425
152,2018-09-30,10090,190,6,2.449489742783178,-1.2166497941068894,-0.24538963870075864
153,2018-10-31,8072,170,6,2.449489742783178,-1.2166497941068894,-0.22569433113431406
154,2018-11-30,8072,186,7,2.6457513110645907,-1.103473494766189,-0.12295454072767162
155,2018-12-31,10091,203,8,2.8284271247461903,-0.9981315638289505,-0.020214750321028603
156,2019-01-31,8076,14,10,3.1622776601683795,-0.8056131382255352,0.16556952292581226
157,2019-02-28,8076,30,8,2.8284271247461903,-0.9981315638289505,0.019175864811860007
158,2019-03-31,10095,60,19,4.358898943540674,-0.11556887866775686,0.9523604836204866
159,2019-04-30,8076,66,11,3.3166247903554,-0.7166072408336583,0.3076999284653433
160,2019-05-31,8076,82,9,3.0,-0.8991922592136576,0.16130627035139106
161,2019-06-30,10095,125,12,3.4641016151377544,-0.631563177375186,0.4301350264384303
162,2019-07-31,8076,118,9,3.0,-0.8991922592136576,0.20069688548427966
163,2019-08-31,8076,134,9,3.0,-0.8991922592136576,0.22039219305072366
164,2019-09-30,10095,190,10,3.1622776601683795,-0.8056131382255352,0.32313198345736666
165,2019-10-31,8076,170,72,8.48528137423857,2.2639529872802617,5.491585227116112
166,2019-11-30,8076,186,54,7.3484692283495345,1.608398296446446,4.016479843558986
167,2019-12-31,10096,203,13,3.605551275463989,-0.5499947417466275,0.6313513546772945
168,2020-01-31,8080,14,13,3.605551275463989,-0.5499947417466275,0.6510466622437385
169,2020-02-29,8080,30,13,3.605551275463989,-0.5499947417466275,0.6707419698101832
170,2020-03-31,10100,60,13,3.605551275463989,-0.5499947417466275,0.6904372773766272
171,2020-04-30,8080,66,4,2.0,-1.4758527859369575,-0.037267760618714
172,2020-05-31,10100,105,11,3.3166247903554,-0.7166072408336583,0.563738926829119
173,2020-06-30,8080,102,2,1.4142135623730951,-1.8136527016062538,-0.16396611116622223
174,2020-07-31,6060,89,5,2.23606797749979,-1.3397217016894245,0.10486264492081704
175,2020-08-31,8080,138,0,0.0,-2.629173839383557,-0.29066446171373045
176,2020-09-30,8080,154,1,1.0,-2.052513312660257,-0.18792467130708804
177,2020-10-31,8080,170,5,2.23606797749979,-1.3397217016894245,0.16394856762015025
178,2020-11-30,10100,235,2,1.4142135623730951,-1.8136527016062538,-0.065489573334001
179,2020-12-31,8080,206,1,1.0,-2.052513312660257,-0.1288387486077554
