,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups cummulative for 2005","Meningococcal disease, All serogroups cummulative for 2004","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2005","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2004","Meningococcal disease, Serogroup B cummulative for 2005","Meningococcal disease, Serogroup B cummulative for 2004","Meningococcal disease, Other serogroup cummulative for 2005","Meningococcal disease, Other serogroup cummulative for 2004","Meningococcal disease, Serogroup unknown cummulative for 2005","Meningococcal disease, Serogroup unknown cummulative for 2004"
70,2005,2,Ariz.,1,0,0,0,0,0,0,0,1,0
71,2005,2,Utah,0,0,0,0,0,0,0,0,0,0
72,2005,2,Nev.,0,0,0,0,0,0,0,0,0,0
73,2005,2,PACIFIC,8,29,0,0,0,0,0,0,3,0
74,2005,2,Wash.,0,0,0,0,0,0,0,0,0,0
75,2005,2,Oreg.,3,6,0,0,0,0,0,0,3,0
76,2005,2,Calif.,5,22,0,0,0,0,0,0,0,0
77,2005,2,Alaska,0,0,0,0,0,0,0,0,0,0
78,2005,2,Hawaii,0,1,0,0,0,0,0,0,0,0
79,2005,2,Guam,0,0,0,0,0,0,0,0,0,0
80,2005,2,P.R.,0,0,0,0,0,0,0,0,0,0
81,2005,2,V.I.,0,0,0,0,0,0,0,0,0,0
82,2005,2,Amer. Samoa,U,U,0,0,0,0,0,0,0,0
83,2005,2,C.N.M.I.,0,U,0,0,0,0,0,0,0,0
17,2005,3,UNITED STATES,46,116,3,8,2,1,0,0,41,107
18,2005,3,NEW ENGLAND,6,3,0,0,0,0,0,0,6,3
19,2005,3,Maine,0,0,0,0,0,0,0,0,0,0
20,2005,3,N.H.,0,0,0,0,0,0,0,0,0,0
21,2005,3,Vt.,3,0,0,0,0,0,0,0,3,0
22,2005,3,Mass.,3,3,0,0,0,0,0,0,3,3
23,2005,3,R.I.,0,0,0,0,0,0,0,0,0,0
24,2005,3,Conn.,0,0,0,0,0,0,0,0,0,0
25,2005,3,MID. ATLANTIC,6,13,0,2,1,0,0,0,5,11
26,2005,3,Upstate N.Y.,3,6,0,2,1,0,0,0,2,4
27,2005,3,N.Y. City,1,2,0,0,0,0,0,0,1,2
28,2005,3,N.J.,2,3,0,0,0,0,0,0,2,3
29,2005,3,Pa.,0,2,0,0,0,0,0,0,0,2
30,2005,3,E.N. CENTRAL,5,12,2,5,1,0,0,0,2,7
31,2005,3,Ohio,2,10,0,3,1,0,0,0,1,7
32,2005,3,Ind.,1,0,0,0,0,0,0,0,1,0
33,2005,3,Ill.,0,0,0,0,0,0,0,0,0,0
34,2005,3,Mich.,2,2,2,2,0,0,0,0,0,0
35,2005,3,Wis.,0,0,0,0,0,0,0,0,0,0
36,2005,3,W.N. CENTRAL,4,5,0,0,0,0,0,0,4,5
37,2005,3,Minn.,0,0,0,0,0,0,0,0,0,0
38,2005,3,Iowa,1,0,0,0,0,0,0,0,1,0
39,2005,3,Mo.,2,2,0,0,0,0,0,0,2,2
40,2005,3,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2005,3,S. Dak.,0,1,0,0,0,0,0,0,0,1
42,2005,3,Nebr.,0,1,0,0,0,0,0,0,0,1
43,2005,3,Kans.,1,1,0,0,0,0,0,0,1,1
44,2005,3,S. ATLANTIC,7,21,1,0,0,0,0,0,6,21
45,2005,3,Del.,0,0,0,0,0,0,0,0,0,0
46,2005,3,Md.,1,3,0,0,0,0,0,0,1,3
47,2005,3,D.C.,0,0,0,0,0,0,0,0,0,0
48,2005,3,Va.,0,2,0,0,0,0,0,0,0,2
49,2005,3,W. Va.,0,1,0,0,0,0,0,0,0,1
50,2005,3,N.C.,1,1,1,0,0,0,0,0,0,1
51,2005,3,S.C.,1,0,0,0,0,0,0,0,1,0
52,2005,3,Ga.,2,4,0,0,0,0,0,0,2,4
53,2005,3,Fla.,2,10,0,0,0,0,0,0,2,10
54,2005,3,E.S. CENTRAL,1,5,0,0,0,0,0,0,1,5
55,2005,3,Ky.,0,0,0,0,0,0,0,0,0,0
56,2005,3,Tenn.,1,4,0,0,0,0,0,0,1,4
57,2005,3,Ala.,0,1,0,0,0,0,0,0,0,1
58,2005,3,Miss.,0,0,0,0,0,0,0,0,0,0
59,2005,3,W.S. CENTRAL,2,19,0,1,0,0,0,0,2,18
60,2005,3,Ark.,1,1,0,0,0,0,0,0,1,1
61,2005,3,La.,1,8,0,1,0,0,0,0,1,7
62,2005,3,Okla.,0,1,0,0,0,0,0,0,0,1
63,2005,3,Tex.,0,9,0,0,0,0,0,0,0,9
64,2005,3,MOUNTAIN,3,4,0,0,0,1,0,0,3,3
65,2005,3,Mont.,0,0,0,0,0,0,0,0,0,0
66,2005,3,Idaho,0,1,0,0,0,0,0,0,0,1
67,2005,3,Wyo.,0,1,0,0,0,0,0,0,0,1
68,2005,3,Colo.,2,1,0,0,0,0,0,0,2,1
