,year,mmwr_week,Reporting Area,"Meningococcal disease, Other serogroups; Current week","Meningococcal disease, Other serogroups; Previous 52 weeks Max �","Meningococcal disease, Other serogroups; Cum YTD 2021 �","Meningococcal disease, Other serogroups; Cum YTD 2020 �","Meningococcal disease, Unknown serogroup; Current week","Meningococcal disease, Unknown serogroup; Previous 52 weeks Max �","Meningococcal disease, Unknown serogroup; Cum YTD 2021 �","Meningococcal disease, Unknown serogroup; Cum YTD 2020 �",column labels (in same order that data fields appears in each record below):
83,2021,2,Total,0,1,0,3,0,8,0,11,
14,2021,3,"U.S. Residents, excluding U.S. Territories",0,2,0,4,0,8,0,17,
15,2021,3,New England,0,0,0,0,0,1,0,0,
16,2021,3,Connecticut,0,0,0,0,0,0,0,0,
17,2021,3,Maine,0,0,0,0,0,0,0,0,
18,2021,3,Massachusetts,0,0,0,0,0,1,0,0,
19,2021,3,New Hampshire,0,0,0,0,0,0,0,0,
20,2021,3,Rhode Island,0,0,0,0,0,0,0,0,
21,2021,3,Vermont,0,0,0,0,0,0,0,0,
22,2021,3,Middle Atlantic,0,0,0,0,0,3,0,2,
23,2021,3,New Jersey,0,0,0,0,0,0,0,0,
24,2021,3,New York (excluding New York City),0,0,0,0,0,2,0,0,
25,2021,3,New York City,0,0,0,0,0,1,0,0,
26,2021,3,Pennsylvania,0,0,0,0,0,2,0,2,
27,2021,3,East North Central,0,1,0,2,0,1,0,0,
28,2021,3,Illinois,0,1,0,1,0,1,0,0,
29,2021,3,Indiana,0,1,0,0,0,1,0,0,
30,2021,3,Michigan,0,0,0,0,0,1,0,0,
31,2021,3,Ohio,0,1,0,1,0,1,0,0,
32,2021,3,Wisconsin,0,0,0,0,0,0,0,0,
33,2021,3,West North Central,0,0,0,0,0,2,0,2,
34,2021,3,Iowa,0,0,0,0,0,1,0,0,
35,2021,3,Kansas,0,0,0,0,0,1,0,0,
36,2021,3,Minnesota,0,0,0,0,0,1,0,0,
37,2021,3,Missouri,0,0,0,0,0,2,0,2,
38,2021,3,Nebraska,0,0,0,0,0,0,0,0,
39,2021,3,North Dakota,0,0,0,0,0,0,0,0,
40,2021,3,South Dakota,0,0,0,0,0,0,0,0,
41,2021,3,South Atlantic,0,1,0,0,0,6,0,2,
42,2021,3,Delaware,0,0,0,0,0,1,0,0,
43,2021,3,District of Columbia,0,0,0,0,0,0,0,0,
44,2021,3,Florida,0,0,0,0,0,4,0,1,
45,2021,3,Georgia,0,1,0,0,0,1,0,0,
46,2021,3,Maryland,0,0,0,0,0,2,0,0,
47,2021,3,North Carolina,0,0,0,0,0,1,0,0,
48,2021,3,South Carolina,0,0,0,0,0,0,0,0,
49,2021,3,Virginia,0,0,0,0,0,1,0,1,
50,2021,3,West Virginia,0,0,0,0,0,0,0,0,
51,2021,3,East South Central,0,1,0,0,0,1,0,0,
52,2021,3,Alabama,0,1,0,0,0,1,0,0,
53,2021,3,Kentucky,0,0,0,0,0,1,0,0,
54,2021,3,Mississippi,0,0,0,0,0,0,0,0,
55,2021,3,Tennessee,0,0,0,0,0,0,0,0,
56,2021,3,West South Central,0,2,0,2,0,2,0,1,
57,2021,3,Arkansas,0,0,0,0,0,2,0,0,
58,2021,3,Louisiana,0,0,0,0,0,1,0,0,
59,2021,3,Oklahoma,0,0,0,2,0,0,0,0,
60,2021,3,Texas,0,2,0,0,0,2,0,1,
61,2021,3,Mountain,0,1,0,0,0,2,0,0,
62,2021,3,Arizona,0,0,0,0,0,0,0,0,
63,2021,3,Colorado,0,0,0,0,0,2,0,0,
64,2021,3,Idaho,0,0,0,0,0,0,0,0,
65,2021,3,Montana,0,0,0,0,0,0,0,0,
