eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
2m,7.098333333334661,6.500000000015515,13.68400152440902,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
3m,9.395555555563211,9.00000000001697,17.295528455307075,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
4m,9.307500000002493,8.750000000012728,16.898917682943164,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
5m,16.347333333324354,15.800000000001171,30.33843597559861,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
6m,13.972777777791194,12.666666666647705,27.023630589434084,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
1m,4.53333333332273,4.0,10.609969512206202,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
2m,7.09833333334549,6.500000000034312,13.684001524430155,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
3m,9.395555555577767,9.000000000038126,17.295528455333077,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
4m,9.30750000001134,8.750000000028594,16.898917682962004,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
5m,16.347333333323494,15.800000000006861,30.338435975596795,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
6m,13.972777777805874,12.66666666663807,27.02363058943985,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
1m,4.533333333326162,4.0,10.609969512202616,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
2m,7.098333333341557,6.50000000002321,13.684001524417239,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
3m,9.39555555557058,9.000000000025787,17.295528455317374,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
4m,9.30750000000767,8.750000000019341,16.898917682950625,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
5m,16.34733333332668,15.80000000000464,30.338435975600994,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
6m,13.972777777796786,12.666666666647323,27.023630589436944,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
1m,4.400000098577664,3.0000001154305167,9.649664749737688,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
2m,7.1366667749020145,6.000000126973575,13.356173938376342,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
3m,6.581111231415359,5.333333479545328,12.858836537423471,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
4m,15.399166772324064,14.50000012120205,29.361497857428986,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
5m,13.055333426785875,10.60000009465303,25.93790561225017,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
6m,20.3572223326764,-0.6666666224182988,39.70515006613365,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
1m,8.669999999903403,8.0,15.859070117694822,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
2m,11.82499998861821,11.499999985511163,20.845289612380405,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
3m,11.79222220347259,11.666666644128476,20.539903422978668,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
4m,19.97583331421611,19.74999997705934,36.31488182778553,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
5m,17.10333331650052,14.699999982613395,31.900585335612934,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
6m,25.141666640543832,1.249999997585192,47.44867373122555,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
1m,8.669999999999696,8.000000000000007,15.859070121937659,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
2m,11.82499999996373,11.499999999953832,20.84528963407698,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
3m,11.79222222216247,11.666666666594844,20.5399034551816,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
4m,19.975833333272405,19.749999999926892,36.314881859654214,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
5m,17.103333333279686,14.699999999944595,31.90058536575729,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
6m,25.141666666583415,1.2499999999923073,47.44867378033081,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
1m,8.669999999999895,7.999999999999993,15.859070121946397,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
2m,11.82499999998711,11.499999999983583,20.845289634121688,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
3m,11.792222222200985,11.666666666641134,20.539903455247963,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
4m,19.97583333331168,19.749999999974015,36.31488185971988,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
5m,17.103333333314268,14.699999999980303,31.900585365819413,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
6m,25.141666666637082,1.249999999997262,47.44867378043202,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
1m,8.660000000000693,8.0,15.418414634176763,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
2m,10.646666666748008,10.00000000010354,18.591905487960425,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
3m,9.851111111245102,9.333333333494396,17.195340447385338,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
4m,17.996666666803286,17.37500000016394,33.00503429900896,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
5m,15.36066666678696,12.900000000124248,28.769823170947813,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
6m,22.437222222408906,1.0000000000172566,42.34865091498618,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
1m,8.660000000000267,8.0,15.418414634158257,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
2m,10.646666666698515,10.000000000040544,18.591905487865784,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
3m,9.851111111163576,9.333333333396398,17.195340447244867,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
4m,17.99666666672016,17.37500000006419,33.005034298869944,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
5m,15.360666666713769,12.90000000004865,28.76982317081632,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
6m,22.43722222229532,1.0000000000067573,42.348650914771994,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
1m,5.103333333343137,5.000000000009905,10.312378048792132,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
2m,2.9083333333427746,2.500000000009919,9.536082317079552,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
3m,13.93000000000957,13.333333333343793,28.845858739848005,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
4m,12.705000000005857,7.500000000009086,25.858266006103385,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
5m,22.361333333337335,-6.399999999991907,44.04898170732028,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
6m,18.708333333337023,-5.333333333326312,38.32184959349848,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
1m,5.103333333410404,5.000000000077897,10.31237804887201,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
2m,2.908333333407608,2.5000000000780176,9.536082317123318,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
3m,13.93000000007536,13.333333333415673,28.845858739920942,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
4m,12.705000000046056,7.500000000071573,25.85826600614339,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
5m,22.361333333364833,-6.399999999936291,44.048981707342364,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
6m,18.708333333362223,-5.333333333278194,38.32184959351603,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
1m,12.706666666405447,12.999999999685912,22.07437499951842,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
2m,11.533333332875284,11.249999999568125,20.26741615774463,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
3m,22.8933333328348,22.49999999955504,42.132494917812416,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
