,model_name,weigth,date_forecast,forecast_window,past_months
3,eakf_model3,1.3178017241439113e-21,2007-12-31,1m,2
0,arima,4.087137026464512e-35,2007-12-31,2m,2
1,eakf_model1,6.195206550334488e-13,2007-12-31,2m,2
2,eakf_model2,0.9999999999993804,2007-12-31,2m,2
3,eakf_model3,3.2514129065755272e-21,2007-12-31,2m,2
0,arima,4.018796413118111e-22,2007-12-31,3m,2
1,eakf_model1,1.8574707971118648e-12,2007-12-31,3m,2
2,eakf_model2,0.9999999999981426,2007-12-31,3m,2
3,eakf_model3,6.5866282037524984e-24,2007-12-31,3m,2
0,arima,1e-323,2007-12-31,4m,2
1,eakf_model1,2.4333654678588576e-24,2007-12-31,4m,2
2,eakf_model2,0.9308030551680062,2007-12-31,4m,2
3,eakf_model3,0.0691969448319937,2007-12-31,4m,2
0,arima,2.138142199774598e-64,2007-12-31,5m,2
1,eakf_model1,2.409915880146777e-12,2007-12-31,5m,2
2,eakf_model2,1.723990553038913e-21,2007-12-31,5m,2
3,eakf_model3,0.99999999999759,2007-12-31,5m,2
0,arima,2.203038238854855e-46,2007-12-31,6m,2
1,eakf_model1,8.289926763870601e-13,2007-12-31,6m,2
2,eakf_model2,1.7923563854340677e-21,2007-12-31,6m,2
3,eakf_model3,0.9999999999991712,2007-12-31,6m,2
0,arima,1.4269377658522249e-15,2008-01-31,1m,2
1,eakf_model1,2.2566511205789017e-12,2008-01-31,1m,2
2,eakf_model2,0.999999999997742,2008-01-31,1m,2
3,eakf_model3,6.343478459898706e-21,2008-01-31,1m,2
0,arima,7.537326727383946e-31,2008-01-31,2m,2
1,eakf_model1,1.173323443373642e-12,2008-01-31,2m,2
2,eakf_model2,0.9999999999988268,2008-01-31,2m,2
3,eakf_model3,9.135410618488444e-23,2008-01-31,2m,2
0,arima,6.279947872610929e-31,2008-01-31,3m,2
1,eakf_model1,1.1124522017866482e-12,2008-01-31,3m,2
2,eakf_model2,0.9999999999988876,2008-01-31,3m,2
3,eakf_model3,5.159245837435324e-23,2008-01-31,3m,2
0,arima,5.4277975942882346e-31,2008-01-31,4m,2
1,eakf_model1,6.614188046245244e-12,2008-01-31,4m,2
2,eakf_model2,0.9999999999933856,2008-01-31,4m,2
3,eakf_model3,2.1948663096059985e-23,2008-01-31,4m,2
0,arima,1.285639172911261e-64,2008-01-31,5m,2
1,eakf_model1,1.0349488769169679e-11,2008-01-31,5m,2
2,eakf_model2,1.3029530515676104e-13,2008-01-31,5m,2
3,eakf_model3,0.9999999999895202,2008-01-31,5m,2
0,arima,1.0571922080322218e-48,2008-01-31,6m,2
1,eakf_model1,1.6008725389214734e-12,2008-01-31,6m,2
2,eakf_model2,3.763779166222286e-21,2008-01-31,6m,2
3,eakf_model3,0.9999999999983992,2008-01-31,6m,2
0,arima,3.0466932670337456e-274,2008-02-29,1m,2
1,eakf_model1,0.6980539754727848,2008-02-29,1m,2
2,eakf_model2,0.3019460245272152,2008-02-29,1m,2
3,eakf_model3,9.54252570501302e-39,2008-02-29,1m,2
0,arima,3.6587278742686716e-11,2008-02-29,2m,2
1,eakf_model1,9.963496287330631e-29,2008-02-29,2m,2
2,eakf_model2,0.9999999999634128,2008-02-29,2m,2
