,model_name,weigth,date_forecast,forecast_window
3,eakf_model3,0.9999999999377848,2008-05-31,4m
0,arima,8.562056682704073e-176,2008-05-31,5m
1,eakf_model1,8.238703297946289e-11,2008-05-31,5m
2,eakf_model2,1.4939329932502752e-51,2008-05-31,5m
3,eakf_model3,0.9999999999176132,2008-05-31,5m
0,arima,0.0,2008-05-31,6m
1,eakf_model1,2.0957515183186616e-09,2008-05-31,6m
2,eakf_model2,3.783617825190456e-172,2008-05-31,6m
3,eakf_model3,0.9999999979042482,2008-05-31,6m
0,arima,3.2406102428782437e-135,2008-06-30,1m
1,eakf_model1,5.1468547073338446e-11,2008-06-30,1m
2,eakf_model2,7.872589937910746e-52,2008-06-30,1m
3,eakf_model3,0.9999999999485312,2008-06-30,1m
0,arima,1.320631587566694e-147,2008-06-30,2m
1,eakf_model1,7.536171205444883e-11,2008-06-30,2m
2,eakf_model2,5.882674324140144e-57,2008-06-30,2m
3,eakf_model3,0.9999999999246384,2008-06-30,2m
0,arima,1.0779251257168e-154,2008-06-30,3m
1,eakf_model1,6.577038103312874e-11,2008-06-30,3m
2,eakf_model2,7.756079676362431e-54,2008-06-30,3m
3,eakf_model3,0.9999999999342298,2008-06-30,3m
0,arima,4.977450192481606e-149,2008-06-30,4m
1,eakf_model1,6.515130733808482e-11,2008-06-30,4m
2,eakf_model2,6.1475066080158875e-52,2008-06-30,4m
3,eakf_model3,0.9999999999348488,2008-06-30,4m
0,arima,2.5727194371931576e-173,2008-06-30,5m
1,eakf_model1,6.661791988293726e-11,2008-06-30,5m
2,eakf_model2,1.369292593975429e-50,2008-06-30,5m
3,eakf_model3,0.9999999999333824,2008-06-30,5m
0,arima,0.0,2008-06-30,6m
1,eakf_model1,1.828378629145133e-07,2008-06-30,6m
2,eakf_model2,6.4e-323,2008-06-30,6m
3,eakf_model3,0.9999998171621372,2008-06-30,6m
0,arima,1.0525687569695889e-213,2008-07-31,1m
1,eakf_model1,1.467984929691383e-10,2008-07-31,1m
2,eakf_model2,4.773508844953313e-87,2008-07-31,1m
3,eakf_model3,0.9999999998532016,2008-07-31,1m
0,arima,5.4167287501040506e-151,2008-07-31,2m
1,eakf_model1,6.872067907036495e-11,2008-07-31,2m
2,eakf_model2,5.3554808123852e-60,2008-07-31,2m
3,eakf_model3,0.9999999999312792,2008-07-31,2m
0,arima,2.3569582504585194e-157,2008-07-31,3m
1,eakf_model1,6.264818275553484e-11,2008-07-31,3m
2,eakf_model2,4.823859960381681e-60,2008-07-31,3m
3,eakf_model3,0.999999999937352,2008-07-31,3m
0,arima,2.2389253888319967e-170,2008-07-31,4m
1,eakf_model1,7.610818093415844e-11,2008-07-31,4m
2,eakf_model2,4.5064041834476965e-62,2008-07-31,4m
3,eakf_model3,0.999999999923892,2008-07-31,4m
0,arima,6.772379039427444e-192,2008-07-31,5m
1,eakf_model1,7.683953290402444e-11,2008-07-31,5m
2,eakf_model2,3.1509341862296207e-55,2008-07-31,5m
3,eakf_model3,0.9999999999231608,2008-07-31,5m
0,arima,0.0,2008-07-31,6m
1,eakf_model1,4.887653477260918e-09,2008-07-31,6m
2,eakf_model2,7.141354569926497e-247,2008-07-31,6m
3,eakf_model3,0.9999999951123468,2008-07-31,6m
0,arima,4.71409560108327e-209,2008-08-31,1m
1,eakf_model1,1.0781304188699569e-10,2008-08-31,1m
2,eakf_model2,1.8898123296773344e-72,2008-08-31,1m
3,eakf_model3,0.9999999998921868,2008-08-31,1m
0,arima,9.073905683845218e-225,2008-08-31,2m
1,eakf_model1,1.4892999224452934e-10,2008-08-31,2m
2,eakf_model2,6.719823384672717e-90,2008-08-31,2m
3,eakf_model3,0.99999999985107,2008-08-31,2m
0,arima,1.207079107508527e-196,2008-08-31,3m
1,eakf_model1,8.964270089160861e-11,2008-08-31,3m
2,eakf_model2,3.940638015983989e-71,2008-08-31,3m
