eval_horizon,mae,error,wis,type,frsct_date,method
4m,5.3518341689706315,-0.10322724177489428,13.814997883946083,imd_incidence,2014-11-30,arima
5m,4.863491899474715,-0.6646063577181259,13.408742190508997,imd_incidence,2014-11-30,arima
6m,4.401222779313755,-0.205525768346947,13.104970018714972,imd_incidence,2014-11-30,arima
1m,2.446666666666667,2.0,5.718582317073171,imd_incidence,2014-11-30,eakf_model1
2m,3.494999999999999,3.0,6.891844512195123,imd_incidence,2014-11-30,eakf_model1
3m,3.7166666666666663,3.3333333333333335,7.15625,imd_incidence,2014-11-30,eakf_model1
4m,5.245833333333333,0.0,9.73999237804878,imd_incidence,2014-11-30,eakf_model1
5m,4.6386666666666665,-0.6,9.011076219512196,imd_incidence,2014-11-30,eakf_model1
6m,4.338888888888889,-0.08333333333333333,8.529997459349593,imd_incidence,2014-11-30,eakf_model1
1m,2.166666666666666,2.0,5.3508993902439,imd_incidence,2014-11-30,eakf_model2
2m,3.373333333333333,3.0,6.802606707317072,imd_incidence,2014-11-30,eakf_model2
3m,3.75,3.3333333333333335,7.219817073170729,imd_incidence,2014-11-30,eakf_model2
4m,5.128333333333333,0.0,9.60574695121951,imd_incidence,2014-11-30,eakf_model2
5m,4.3,-0.2,8.844756097560975,imd_incidence,2014-11-30,eakf_model2
6m,4.276666666666666,0.5,8.63760924796748,imd_incidence,2014-11-30,eakf_model2
1m,1.9800000000000004,2.0,5.56217987804878,imd_incidence,2014-11-30,eakf_model3
2m,2.99,3.0,6.412797256097561,imd_incidence,2014-11-30,eakf_model3
3m,3.4355555555555557,3.3333333333333335,6.867525406504065,imd_incidence,2014-11-30,eakf_model3
4m,5.358333333333334,-0.25,10.210640243902441,imd_incidence,2014-11-30,eakf_model3
5m,4.903333333333334,-0.8,9.497646341463414,imd_incidence,2014-11-30,eakf_model3
6m,4.173333333333335,-0.6666666666666666,8.679103150406506,imd_incidence,2014-11-30,eakf_model3
1m,2.658175687401828,2.658175687401828,11.111783472919852,imd_incidence,2014-11-30,sarima
2m,3.3643346957547076,3.3643346957547076,11.471572617819755,imd_incidence,2014-11-30,sarima
3m,3.971470139041131,3.971470139041131,12.165724187551907,imd_incidence,2014-11-30,sarima
4m,5.564058682430393,0.39314652613130363,13.709604473298658,imd_incidence,2014-11-30,sarima
5m,5.123973194928141,-0.35820902807878274,13.175211580518287,imd_incidence,2014-11-30,sarima
6m,4.50394754936272,-0.06453763647638262,12.669438711046801,imd_incidence,2014-11-30,sarima
1m,3.4130354496449957,3.4130354496449957,11.062975516415815,imd_incidence,2014-12-31,arima
2m,3.5869622623643123,3.5869622623643123,11.502037431475978,imd_incidence,2014-12-31,arima
3m,6.137678483214998,-1.3550621333959156,14.170730264169967,imd_incidence,2014-12-31,arima
4m,5.413036593640341,-1.8260743312760295,13.525604414141174,imd_incidence,2014-12-31,arima
5m,4.682607089928998,-1.108681650004098,13.038485962940424,imd_incidence,2014-12-31,arima
