,model_name,weigth,date_forecast,forecast_window,past_months
3,eakf_model3,0.999999999998727,2007-12-31,6m,2
4,sarima,4.914117545565829e-23,2007-12-31,6m,2
0,arima,2.4777991037611947e-65,2008-01-31,1m,2
1,eakf_model1,3.470088532135857e-52,2008-01-31,1m,2
2,eakf_model2,0.9999999999150528,2008-01-31,1m,2
3,eakf_model3,1.0196541591256492e-122,2008-01-31,1m,2
4,sarima,8.494709075055789e-11,2008-01-31,1m,2
0,arima,2.2297043774808576e-26,2008-01-31,2m,2
1,eakf_model1,1.8463945874082924e-12,2008-01-31,2m,2
2,eakf_model2,0.9999999999981536,2008-01-31,2m,2
3,eakf_model3,2.390798211823182e-23,2008-01-31,2m,2
4,sarima,2.841825569571092e-19,2008-01-31,2m,2
0,arima,4.415604839510267e-31,2008-01-31,3m,2
1,eakf_model1,2.082705284636319e-12,2008-01-31,3m,2
2,eakf_model2,0.9999999999979172,2008-01-31,3m,2
3,eakf_model3,3.2461999560361894e-21,2008-01-31,3m,2
4,sarima,3.51850289499884e-72,2008-01-31,3m,2
0,arima,1.2940900056036855e-24,2008-01-31,4m,2
1,eakf_model1,8.230031556097172e-12,2008-01-31,4m,2
2,eakf_model2,0.99999999999177,2008-01-31,4m,2
3,eakf_model3,1.6703811366007737e-21,2008-01-31,4m,2
4,sarima,8.278011477773991e-151,2008-01-31,4m,2
0,arima,5.180915579803372e-107,2008-01-31,5m,2
1,eakf_model1,2.511385949409465e-12,2008-01-31,5m,2
2,eakf_model2,6.175763060656365e-11,2008-01-31,5m,2
3,eakf_model3,0.999999999935731,2008-01-31,5m,2
4,sarima,3.264369882369932e-209,2008-01-31,5m,2
0,arima,1.2546204710326709e-49,2008-01-31,6m,2
1,eakf_model1,2.9598245462280528e-12,2008-01-31,6m,2
2,eakf_model2,3.80329019856258e-19,2008-01-31,6m,2
3,eakf_model3,0.99999999999704,2008-01-31,6m,2
4,sarima,4.878616939048592e-34,2008-01-31,6m,2
0,arima,3.784022157373229e-257,2008-02-29,1m,2
1,eakf_model1,2.2871248906043908e-10,2008-02-29,1m,2
2,eakf_model2,0.9999999997712876,2008-02-29,1m,2
3,eakf_model3,3.6819079427096266e-82,2008-02-29,1m,2
4,sarima,5.247428066591757e-104,2008-02-29,1m,2
0,arima,9.606386859123164e-15,2008-02-29,2m,2
1,eakf_model1,4.240968819205444e-19,2008-02-29,2m,2
2,eakf_model2,1.495694203941013e-12,2008-02-29,2m,2
3,eakf_model3,1.9543970705524653e-25,2008-02-29,2m,2
4,sarima,0.9999999999984948,2008-02-29,2m,2
0,arima,3.854537971380005e-35,2008-02-29,3m,2
1,eakf_model1,8.838577806182377e-12,2008-02-29,3m,2
2,eakf_model2,0.9999999999911616,2008-02-29,3m,2
3,eakf_model3,3.656416850010097e-26,2008-02-29,3m,2
4,sarima,2.725199341980683e-18,2008-02-29,3m,2
0,arima,3.663582385352978e-34,2008-02-29,4m,2
1,eakf_model1,6.150851758371646e-12,2008-02-29,4m,2
2,eakf_model2,0.9999999999938493,2008-02-29,4m,2
3,eakf_model3,4.814187228569009e-22,2008-02-29,4m,2
4,sarima,5.736450119396026e-66,2008-02-29,4m,2
0,arima,7.266942455318554e-31,2008-02-29,5m,2
1,eakf_model1,1.7125094458024822e-11,2008-02-29,5m,2
2,eakf_model2,0.999999999982875,2008-02-29,5m,2
3,eakf_model3,1.5647745596260237e-18,2008-02-29,5m,2
4,sarima,1.527374300268239e-147,2008-02-29,5m,2
0,arima,2.1483113933978806e-75,2008-02-29,6m,2
1,eakf_model1,3.377439541610368e-11,2008-02-29,6m,2
2,eakf_model2,2.8264132435757296e-14,2008-02-29,6m,2
3,eakf_model3,0.9999999999661972,2008-02-29,6m,2
