eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
1m,13.576666674663493,14.000000007700471,23.675579283242563,imd_incidence,2022-04-30,all_past_ens,1m,2007-10-31,wis,all_past_ens
2m,12.343333339393372,12.500000005950366,21.462195133511106,imd_incidence,2022-04-30,all_past_ens,1m,2007-10-31,wis,all_past_ens
3m,23.737777779361426,23.6666666683001,43.59897866194809,imd_incidence,2022-04-30,all_past_ens,1m,2007-10-31,wis,all_past_ens
4m,18.327500000470778,17.250000001925116,35.553971040491454,imd_incidence,2022-04-30,all_past_ens,1m,2007-10-31,wis,all_past_ens
5m,26.56399999806508,1.800000003920242,51.057295728329485,imd_incidence,2022-04-30,all_past_ens,1m,2007-10-31,wis,all_past_ens
6m,22.50499999474617,1.166666673550426,44.2370553850694,imd_incidence,2022-04-30,all_past_ens,1m,2007-10-31,wis,all_past_ens
1m,13.576666665186998,13.99999999825922,23.675579265429214,imd_incidence,2022-04-30,all_past_ens,2m,2007-10-31,wis,all_past_ens
2m,12.343333331010843,12.49999999738883,21.462195117995808,imd_incidence,2022-04-30,all_past_ens,2m,2007-10-31,wis,all_past_ens
3m,23.737777774949976,23.66666666376537,43.59897865351342,imd_incidence,2022-04-30,all_past_ens,2m,2007-10-31,wis,all_past_ens
4m,18.327499998470287,17.249999997171233,35.55397103264148,imd_incidence,2022-04-30,all_past_ens,2m,2007-10-31,wis,all_past_ens
5m,26.56399999865844,1.79999999808514,51.05729572852308,imd_incidence,2022-04-30,all_past_ens,2m,2007-10-31,wis,all_past_ens
6m,22.504999998224406,1.166666665506143,44.23705538337169,imd_incidence,2022-04-30,all_past_ens,2m,2007-10-31,wis,all_past_ens
1m,11.87666666854058,12.000000002204608,20.390594515714014,imd_incidence,2022-04-30,all_past_ens,3m,2007-10-31,wis,all_past_ens
2m,9.675000002941314,9.500000003306912,16.968993907287047,imd_incidence,2022-04-30,all_past_ens,3m,2007-10-31,wis,all_past_ens
3m,20.488888892470154,20.33333333700768,37.86195122576625,imd_incidence,2022-04-30,all_past_ens,3m,2007-10-31,wis,all_past_ens
4m,16.570000001937302,14.00000000358249,31.200228662960686,imd_incidence,2022-04-30,all_past_ens,3m,2007-10-31,wis,all_past_ens
5m,25.02266666836569,-0.39999999757493043,47.54084451577128,imd_incidence,2022-04-30,all_past_ens,3m,2007-10-31,wis,all_past_ens
6m,21.239444445027445,-0.16666666519692677,41.302101120585924,imd_incidence,2022-04-30,all_past_ens,3m,2007-10-31,wis,all_past_ens
1m,11.87666666778243,12.000000001312657,20.390594514290328,imd_incidence,2022-04-30,all_past_ens,4m,2007-10-31,wis,all_past_ens
2m,9.675000001751311,9.500000001968989,16.96899390532562,imd_incidence,2022-04-30,all_past_ens,4m,2007-10-31,wis,all_past_ens
3m,20.488888891021237,20.3333333355211,37.86195122323596,imd_incidence,2022-04-30,all_past_ens,4m,2007-10-31,wis,all_past_ens
4m,16.570000001153502,14.000000002133072,31.20022866117077,imd_incidence,2022-04-30,all_past_ens,4m,2007-10-31,wis,all_past_ens
5m,25.022666667678294,-0.399999998556072,47.54084451432442,imd_incidence,2022-04-30,all_past_ens,4m,2007-10-31,wis,all_past_ens
6m,21.239444444791573,-0.1666666657915575,41.30210111949365,imd_incidence,2022-04-30,all_past_ens,4m,2007-10-31,wis,all_past_ens
1m,11.876666669457443,12.000000003283262,20.39059451743571,imd_incidence,2022-04-30,all_past_ens,5m,2007-10-31,wis,all_past_ens
2m,9.675000004380419,9.500000004924892,16.968993909659048,imd_incidence,2022-04-30,all_past_ens,5m,2007-10-31,wis,all_past_ens
3m,20.488888894222367,20.333333338805435,37.86195122882618,imd_incidence,2022-04-30,all_past_ens,5m,2007-10-31,wis,all_past_ens
4m,16.570000002885166,14.0000000053353,31.20022866512527,imd_incidence,2022-04-30,all_past_ens,5m,2007-10-31,wis,all_past_ens
