eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
2m,12.343333329162181,12.499999995310386,21.462195114847365,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
3m,23.737777772699094,23.66666666145598,43.59897864951507,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
4m,18.327499997252666,17.249999994919584,35.553971029502215,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
5m,26.563999997590578,1.799999996560949,51.05729572598849,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
6m,22.504999996811062,1.1666666645823927,44.23705538113722,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
1m,2.166666666663467,-1.9999999999966818,8.041448170730655,imd_incidence,2022-04-30,2_past_ens,1m,2007-11-30,wis,2_past_ens
2m,17.419999999999956,15.250000000003205,34.709954268295185,imd_incidence,2022-04-30,2_past_ens,1m,2007-11-30,wis,2_past_ens
3m,15.877777777776982,5.500000000003086,30.63079268292725,imd_incidence,2022-04-30,2_past_ens,1m,2007-11-30,wis,2_past_ens
4m,28.45416666666558,-12.37499999999721,54.878635670731015,imd_incidence,2022-04-30,2_past_ens,1m,2007-11-30,wis,2_past_ens
5m,23.587333333332186,-10.899999999997481,46.12070121951139,imd_incidence,2022-04-30,2_past_ens,1m,2007-11-30,wis,2_past_ens
6m,21.528333333332228,-11.083333333331076,41.80197916666573,imd_incidence,2022-04-30,2_past_ens,1m,2007-11-30,wis,2_past_ens
1m,2.1666666666534127,-1.9999999999862794,8.041448170727458,imd_incidence,2022-04-30,2_past_ens,2m,2007-11-30,wis,2_past_ens
2m,17.41999999999998,15.250000000013397,34.709954268303356,imd_incidence,2022-04-30,2_past_ens,2m,2007-11-30,wis,2_past_ens
3m,15.877777777774453,5.500000000012993,30.630792682928558,imd_incidence,2022-04-30,2_past_ens,2m,2007-11-30,wis,2_past_ens
4m,28.45416666666207,-12.374999999988216,54.87863567072864,imd_incidence,2022-04-30,2_past_ens,2m,2007-11-30,wis,2_past_ens
5m,23.587333333328495,-10.899999999989355,46.12070121950872,imd_incidence,2022-04-30,2_past_ens,2m,2007-11-30,wis,2_past_ens
6m,21.528333333328717,-11.083333333323841,41.801979166662754,imd_incidence,2022-04-30,2_past_ens,2m,2007-11-30,wis,2_past_ens
1m,2.1666597350011756,-1.999993434886676,8.04144708597433,imd_incidence,2022-04-30,2_past_ens,3m,2007-11-30,wis,2_past_ens
2m,17.42000135268689,15.250008001231866,34.70996304113178,imd_incidence,2022-04-30,2_past_ens,3m,2007-11-30,wis,2_past_ens
3m,15.877775608554915,5.500008616711241,30.630793342694872,imd_incidence,2022-04-30,2_past_ens,3m,2007-11-30,wis,2_past_ens
4m,28.45416321998217,-12.374991793608341,54.878632326442585,imd_incidence,2022-04-30,2_past_ens,3m,2007-11-30,wis,2_past_ens
5m,23.587329796925623,-10.899992450119674,46.120698051214525,imd_incidence,2022-04-30,2_past_ens,3m,2007-11-30,wis,2_past_ens
6m,21.528330478876768,-11.083327041766395,41.801976664630416,imd_incidence,2022-04-30,2_past_ens,3m,2007-11-30,wis,2_past_ens
1m,6.279999999976631,5.999999999986358,12.565945121917075,imd_incidence,2022-04-30,2_past_ens,4m,2007-11-30,wis,2_past_ens
2m,25.34833333328632,24.99999999995908,48.323376524305,imd_incidence,2022-04-30,2_past_ens,4m,2007-11-30,wis,2_past_ens
3m,17.42111111110885,15.99999999994544,35.967281504003175,imd_incidence,2022-04-30,2_past_ens,4m,2007-11-30,wis,2_past_ens
4m,27.39416666668118,-2.3750000000562643,54.20280106706162,imd_incidence,2022-04-30,2_past_ens,4m,2007-11-30,wis,2_past_ens
5m,22.040666666673246,-1.7000000000531954,45.35993292681634,imd_incidence,2022-04-30,2_past_ens,4m,2007-11-30,wis,2_past_ens
