eval_horizon,mae,error,wis,type,frsct_date,method
6m,7.056808513746755,4.491675541240269,21.621968394280234,imd_incidence,2008-06-30,equal_weights_ensemble
1m,4.742633910052888,4.460133910052889,17.901533303611487,imd_incidence,2008-07-31,equal_weights_ensemble
2m,3.449300576719555,3.210133910052889,17.460456993851157,imd_incidence,2008-07-31,equal_weights_ensemble
3m,7.5268005767195545,7.335133910052889,22.252553091693745,imd_incidence,2008-07-31,equal_weights_ensemble
4m,6.740066955026444,4.303883910052889,21.251201507536425,imd_incidence,2008-07-31,equal_weights_ensemble
5m,7.603913679365066,5.585133910052889,21.9015036993561,imd_incidence,2008-07-31,equal_weights_ensemble
6m,7.38522816225748,5.668467243386222,21.433012086050528,imd_incidence,2008-07-31,equal_weights_ensemble
1m,1.1571117713331986,0.8787784379998698,16.14651603825842,imd_incidence,2008-08-31,equal_weights_ensemble
2m,7.955445104666534,7.69127843799987,23.085808834021435,imd_incidence,2008-08-31,equal_weights_ensemble
3m,6.9348705904444,3.3371117713332032,21.37077554618876,imd_incidence,2008-08-31,equal_weights_ensemble
4m,7.955639218999934,5.16002843799987,22.046259839226305,imd_incidence,2008-08-31,equal_weights_ensemble
5m,7.722933729466588,5.45377843799987,21.521081003081953,imd_incidence,2008-08-31,equal_weights_ensemble
6m,7.206398368222178,3.7329451046665363,20.92018199098757,imd_incidence,2008-08-31,equal_weights_ensemble
1m,12.968670252675075,12.782003586008408,26.650294651032244,imd_incidence,2008-09-30,equal_weights_ensemble
2m,9.767916666666668,3.0320035860084076,22.472654960993662,imd_incidence,2008-09-30,equal_weights_ensemble
3m,9.83344563978058,5.282003586008408,22.462555181076326,imd_incidence,2008-09-30,equal_weights_ensemble
4m,8.836210126337535,5.407003586008408,21.34063679599067,imd_incidence,2008-09-30,equal_weights_ensemble
5m,8.130234050535012,3.2820035860084076,20.60642807801368,imd_incidence,2008-09-30,equal_weights_ensemble
6m,12.400138888888888,-2.926329747324926,26.727959721306068,imd_incidence,2008-09-30,equal_weights_ensemble
1m,8.02530545065337,-8.29530545065337,19.069408367312594,imd_incidence,2008-10-31,equal_weights_ensemble
2m,8.429583333333333,0.20469454934662856,19.62578938166229,imd_incidence,2008-10-31,equal_weights_ensemble
3m,7.3393426275599865,1.704694549346628,18.79014988645121,imd_incidence,2008-10-31,equal_weights_ensemble
4m,7.050208333333332,-0.23280545065337233,18.479920407653793,imd_incidence,2008-10-31,equal_weights_ensemble
5m,12.519227756797338,-7.095305450653373,26.495731721419016,imd_incidence,2008-10-31,equal_weights_ensemble
6m,11.510240705773343,-6.982805450653373,25.01425307920574,imd_incidence,2008-10-31,equal_weights_ensemble
1m,8.014502309714096,8.11533564304743,19.415578728778883,imd_incidence,2008-11-30,equal_weights_ensemble
2m,6.182835643047429,6.24033564304743,17.80061693931256,imd_incidence,2008-11-30,equal_weights_ensemble
3m,6.272889658793588,1.9903356430474304,17.75029771452813,imd_incidence,2008-11-30,equal_weights_ensemble
4m,13.290208333333334,-7.16591435695257,27.973331987742696,imd_incidence,2008-11-30,equal_weights_ensemble
5m,11.840599538057182,-6.90966435695257,25.847303332340424,imd_incidence,2008-11-30,equal_weights_ensemble
6m,12.838777007873082,-8.738831023619236,26.704834298212546,imd_incidence,2008-11-30,equal_weights_ensemble
1m,2.4142353807522348,2.3842353807522407,14.63736018124383,imd_incidence,2008-12-31,equal_weights_ensemble
2m,5.190416666666666,-3.0532646192477593,16.601862600784273,imd_incidence,2008-12-31,equal_weights_ensemble
3m,15.3938659841937,-14.032431285914425,31.48180838703834,imd_incidence,2008-12-31,equal_weights_ensemble
4m,13.225382309623882,-12.33451461924776,28.05497585533525,imd_incidence,2008-12-31,equal_weights_ensemble
5m,14.261625438215324,-13.61576461924776,28.744886637609444,imd_incidence,2008-12-31,equal_weights_ensemble
