eval_horizon,mae,error,wis,type,frsct_date,method
2m,6.473333333333333,-6.75,11.597461890243899,imd_incidence,2014-01-31,eakf_model2
3m,4.394444444444445,-4.5,9.437433943089431,imd_incidence,2014-01-31,eakf_model2
4m,3.765833333333333,-3.125,8.518837652439023,imd_incidence,2014-01-31,eakf_model2
5m,3.094,-2.7,7.8389603658536595,imd_incidence,2014-01-31,eakf_model2
6m,4.618888888888888,-0.25,10.240033028455283,imd_incidence,2014-01-31,eakf_model2
1m,8.143333333333333,-8.0,14.222500000000002,imd_incidence,2014-01-31,eakf_model3
2m,6.086666666666667,-6.0,11.154596036585371,imd_incidence,2014-01-31,eakf_model3
3m,4.285555555555556,-3.8333333333333335,9.074263211382116,imd_incidence,2014-01-31,eakf_model3
4m,3.5241666666666664,-2.625,8.063227896341463,imd_incidence,2014-01-31,eakf_model3
5m,3.275333333333333,-2.5,7.629829268292684,imd_incidence,2014-01-31,eakf_model3
6m,4.090555555555555,-0.75,8.7302337398374,imd_incidence,2014-01-31,eakf_model3
1m,4.885700683396944,-4.885700683396944,14.7355860481632,imd_incidence,2014-01-31,sarima
2m,2.7317905327777634,-2.7317905327777634,14.448761577148511,imd_incidence,2014-01-31,sarima
3m,3.0887524538344877,-0.5536349232025302,14.58953263620455,imd_incidence,2014-01-31,sarima
4m,2.797282069433342,0.06549153665557839,13.98722460902463,imd_incidence,2014-01-31,sarima
5m,2.765074613056696,-0.47485572818555966,13.475905044755994,imd_incidence,2014-01-31,sarima
6m,4.07869961179209,1.378757660756877,14.93290817628896,imd_incidence,2014-01-31,sarima
1m,1.4866956761858674,-1.4866956761858674,13.83723734390767,imd_incidence,2014-02-28,arima
2m,2.065371710309403,0.5786760341235357,14.016697314062066,imd_incidence,2014-02-28,arima
3m,2.5915970550172482,1.6004666042266702,14.27292502026347,imd_incidence,2014-02-28,arima
4m,2.104709727371171,1.3613618892782373,14.187599638153952,imd_incidence,2014-02-28,arima
5m,4.212577330783525,3.6178990603091776,16.670855667537147,imd_incidence,2014-02-28,arima
6m,4.28448906639176,3.788923840996471,16.51611168846356,imd_incidence,2014-02-28,arima
1m,3.793333333333333,-4.0,7.673170731707318,imd_incidence,2014-02-28,eakf_model1
2m,2.709999999999999,-1.5,6.581486280487804,imd_incidence,2014-02-28,eakf_model1
3m,2.522222222222222,-0.3333333333333333,6.313343495934958,imd_incidence,2014-02-28,eakf_model1
4m,2.1741666666666664,-0.75,6.090800304878049,imd_incidence,2014-02-28,eakf_model1
5m,3.9799999999999995,1.6,8.927560975609756,imd_incidence,2014-02-28,eakf_model1
6m,3.8405555555555555,1.8333333333333333,8.538252032520326,imd_incidence,2014-02-28,eakf_model1
1m,5.056666666666668,-5.0,9.07981707317073,imd_incidence,2014-02-28,eakf_model2
2m,2.6316666666666677,-2.5,7.167637195121951,imd_incidence,2014-02-28,eakf_model2
3m,2.383333333333334,-1.0,6.6480487804878035,imd_incidence,2014-02-28,eakf_model2
4m,2.0275000000000007,-1.0,6.304767530487805,imd_incidence,2014-02-28,eakf_model2
5m,3.9946666666666673,1.6,9.299481707317074,imd_incidence,2014-02-28,eakf_model2
6m,4.0361111111111105,2.0,9.05028963414634,imd_incidence,2014-02-28,eakf_model2
1m,3.8933333333333344,-4.0,7.8875,imd_incidence,2014-02-28,eakf_model3
2m,2.536666666666667,-1.5,6.647888719512195,imd_incidence,2014-02-28,eakf_model3
3m,2.5500000000000007,-0.3333333333333333,6.439649390243902,imd_incidence,2014-02-28,eakf_model3
4m,2.2558333333333342,-0.75,6.2189138719512185,imd_incidence,2014-02-28,eakf_model3
5m,3.8166666666666673,1.4,8.586576219512194,imd_incidence,2014-02-28,eakf_model3
6m,3.3938888888888896,1.3333333333333333,8.048965955284553,imd_incidence,2014-02-28,eakf_model3
1m,0.03760217628092022,-0.03760217628092022,14.345763403047226,imd_incidence,2014-02-28,sarima
2m,2.1784243825796903,2.14082220629877,14.850854777136291,imd_incidence,2014-02-28,sarima
3m,2.2297620019514306,2.2046938844308173,14.054095657509423,imd_incidence,2014-02-28,sarima
4m,2.242868447062027,1.082973467724659,13.38803079611572,imd_incidence,2014-02-28,sarima
5m,4.003581012291066,3.0756650288211724,15.296311991410164,imd_incidence,2014-02-28,sarima
6m,3.7937301862968393,3.020466866738594,14.827444133190118,imd_incidence,2014-02-28,sarima
1m,3.027176195157679,3.027176195157679,13.959808022657429,imd_incidence,2014-03-31,arima
2m,3.4177311835680513,3.4177311835680513,14.388013803789205,imd_incidence,2014-03-31,arima
3m,2.547916179704842,2.547916179704842,14.218724695538075,imd_incidence,2014-03-31,arima
4m,5.113008677773237,5.113008677773237,17.37270581925078,imd_incidence,2014-03-31,arima
5m,5.052064176614275,5.052064176614275,17.056875617876663,imd_incidence,2014-03-31,arima
6m,5.3447678425083,5.3447678425083,17.174214146804356,imd_incidence,2014-03-31,arima
1m,1.9333333333333336,2.0,5.550045731707317,imd_incidence,2014-03-31,eakf_model1
2m,1.9233333333333338,1.75,5.496448170731705,imd_incidence,2014-03-31,eakf_model1
3m,1.4600000000000009,0.8333333333333334,5.400472560975609,imd_incidence,2014-03-31,eakf_model1
4m,3.9541666666666675,3.375,9.218616615853659,imd_incidence,2014-03-31,eakf_model1
5m,3.809333333333334,3.3,8.761975609756096,imd_incidence,2014-03-31,eakf_model1
6m,4.075555555555556,3.5833333333333335,8.9048043699187,imd_incidence,2014-03-31,eakf_model1
1m,0.08000000000000007,0.0,4.869268292682927,imd_incidence,2014-03-31,eakf_model2
2m,0.578333333333334,0.5,5.093925304878049,imd_incidence,2014-03-31,eakf_model2
3m,1.0266666666666666,-0.3333333333333333,5.173084349593496,imd_incidence,2014-03-31,eakf_model2
4m,3.5933333333333333,2.5,8.965529725609757,imd_incidence,2014-03-31,eakf_model2
5m,3.624666666666667,2.6,8.61826219512195,imd_incidence,2014-03-31,eakf_model2
6m,3.9350000000000005,3.0,8.74929369918699,imd_incidence,2014-03-31,eakf_model2
1m,0.23666666666666814,0.0,4.550960365853658,imd_incidence,2014-03-31,eakf_model3
2m,1.4883333333333333,1.5,5.34249237804878,imd_incidence,2014-03-31,eakf_model3
3m,1.0344444444444438,1.0,5.298998983739837,imd_incidence,2014-03-31,eakf_model3
4m,3.55,3.5,8.978578506097561,imd_incidence,2014-03-31,eakf_model3
5m,3.263333333333333,3.2,8.282673780487803,imd_incidence,2014-03-31,eakf_model3
6m,3.1238888888888887,3.0,7.846829268292684,imd_incidence,2014-03-31,eakf_model3
1m,4.325657152884627,4.325657152884627,15.19815712248278,imd_incidence,2014-03-31,sarima
2m,3.3298554892568877,3.3298554892568877,13.754582632863265,imd_incidence,2014-03-31,sarima
3m,2.980860215589504,1.4589471034196795,12.92071640772616,imd_incidence,2014-03-31,sarima
4m,4.997551359099233,3.8561165249718643,15.40423280721441,imd_incidence,2014-03-31,sarima
5m,4.547087127697241,3.6339392603953464,14.791079936794599,imd_incidence,2014-03-31,sarima
6m,4.766909012288521,4.00595245620361,14.908629131225382,imd_incidence,2014-03-31,sarima
1m,2.929594993557437,2.929594993557437,13.128666263178777,imd_incidence,2014-04-30,arima
2m,1.678527768343164,1.678527768343164,13.26030383821877,imd_incidence,2014-04-30,arima
3m,5.261505359938407,5.261505359938407,17.496399032150865,imd_incidence,2014-04-30,arima
4m,5.052994155736028,5.052994155736028,16.897921442329974,imd_incidence,2014-04-30,arima
5m,5.327887433214601,5.327887433214601,16.915818404389658,imd_incidence,2014-04-30,arima
6m,5.511149618200316,5.511149618200316,16.941945728265292,imd_incidence,2014-04-30,arima
1m,2.4366666666666674,2.0,5.892286585365853,imd_incidence,2014-04-30,eakf_model1
2m,1.2916666666666679,1.0,5.840030487804876,imd_incidence,2014-04-30,eakf_model1
3m,4.650000000000001,4.333333333333333,10.817103658536585,imd_incidence,2014-04-30,eakf_model1
4m,4.445,4.0,9.977747713414635,imd_incidence,2014-04-30,eakf_model1
5m,4.764,4.4,10.108411585365852,imd_incidence,2014-04-30,eakf_model1
6m,4.962777777777778,4.5,10.107985264227642,imd_incidence,2014-04-30,eakf_model1
1m,1.2333333333333343,1.0,4.904237804878049,imd_incidence,2014-04-30,eakf_model2
2m,0.8516666666666666,0.0,5.161897865853657,imd_incidence,2014-04-30,eakf_model2
3m,4.4622222222222225,3.6666666666666665,10.470147357723578,imd_incidence,2014-04-30,eakf_model2
4m,4.431666666666667,3.75,9.891676829268292,imd_incidence,2014-04-30,eakf_model2
5m,4.941333333333334,4.4,10.355521341463415,imd_incidence,2014-04-30,eakf_model2
6m,5.317777777777778,4.833333333333333,10.70592225609756,imd_incidence,2014-04-30,eakf_model2
1m,1.7466666666666661,2.0,5.274634146341464,imd_incidence,2014-04-30,eakf_model3
2m,1.3200000000000003,0.5,5.343582317073172,imd_incidence,2014-04-30,eakf_model3
3m,4.695555555555555,4.0,10.457118902439026,imd_incidence,2014-04-30,eakf_model3
4m,4.306666666666667,3.75,9.44048018292683,imd_incidence,2014-04-30,eakf_model3
5m,4.3693333333333335,4.0,9.147103658536585,imd_incidence,2014-04-30,eakf_model3
6m,4.214444444444445,3.8333333333333335,8.762878556910568,imd_incidence,2014-04-30,eakf_model3
1m,1.9111391543199545,1.9111391543199545,11.744582449479827,imd_incidence,2014-04-30,sarima
2m,2.28029840473296,-0.3691592504130057,11.396635016115736,imd_incidence,2014-04-30,sarima
3m,5.065136215453715,3.298831112023071,14.919189625363654,imd_incidence,2014-04-30,sarima
4m,4.384608514801812,3.059879687228829,14.130296831811906,imd_incidence,2014-04-30,sarima
5m,4.592528230993859,3.532745168935473,14.24482324885379,imd_incidence,2014-04-30,sarima
6m,4.444426144201152,3.5612735924858305,13.918422034113888,imd_incidence,2014-04-30,sarima
1m,0.46197348107392955,-0.46197348107392955,12.121198182370698,imd_incidence,2014-05-31,arima
2m,6.251835424645984,5.789861943572054,18.611391343412926,imd_incidence,2014-05-31,arima
3m,5.515122739170002,5.207140418454049,17.215613613595416,imd_incidence,2014-05-31,arima
4m,5.646766396432011,5.415779655895046,16.96825255681056,imd_incidence,2014-05-31,arima
5m,5.725752590789217,5.540963198359645,16.83711242291079,imd_incidence,2014-05-31,arima
6m,5.111743387027354,4.957752226669377,16.3212330547471,imd_incidence,2014-05-31,arima
1m,0.3966666666666683,-1.0,5.049192073170731,imd_incidence,2014-05-31,eakf_model1
2m,6.046666666666667,5.5,13.039954268292686,imd_incidence,2014-05-31,eakf_model1
3m,5.36,5.0,11.264278455284554,imd_incidence,2014-05-31,eakf_model1
4m,5.429166666666667,5.0,10.88753429878049,imd_incidence,2014-05-31,eakf_model1
5m,5.449333333333334,5.0,10.64942987804878,imd_incidence,2014-05-31,eakf_model1
6m,4.836666666666667,4.5,9.8405081300813,imd_incidence,2014-05-31,eakf_model1
1m,1.8866666666666667,-2.0,5.312804878048781,imd_incidence,2014-05-31,eakf_model2
2m,6.1033333333333335,4.0,11.895579268292684,imd_incidence,2014-05-31,eakf_model2
3m,4.973333333333334,3.5,9.90973069105691,imd_incidence,2014-05-31,eakf_model2
4m,5.091666666666667,3.875,9.737564786585367,imd_incidence,2014-05-31,eakf_model2
5m,5.330666666666667,4.3,9.92350304878049,imd_incidence,2014-05-31,eakf_model2
6m,4.795,3.9166666666666665,9.227154471544715,imd_incidence,2014-05-31,eakf_model2
1m,1.7399999999999984,-2.0,5.33408536585366,imd_incidence,2014-05-31,eakf_model3
2m,6.301666666666666,4.5,12.27532774390244,imd_incidence,2014-05-31,eakf_model3
3m,5.329999999999999,4.0,10.425762195121951,imd_incidence,2014-05-31,eakf_model3
4m,5.098333333333333,4.0,9.83890625,imd_incidence,2014-05-31,eakf_model3
5m,4.808,3.8,9.321856707317073,imd_incidence,2014-05-31,eakf_model3
6m,4.267222222222222,2.8333333333333335,8.645896849593496,imd_incidence,2014-05-31,eakf_model3
1m,2.8644859763117996,-2.8644859763117996,10.892128703338958,imd_incidence,2014-05-31,sarima
2m,6.6377949912284935,3.773309014916694,16.170411867228058,imd_incidence,2014-05-31,sarima
