,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2014,Lyme disease cummulative for 2013,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2014,Malaria cummulative for 2013,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2014","Meningococcal diseases, invasive �, All groups cummulative for 2013"
65,2014,3,Ark.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66,2014,3,La.,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
67,2014,3,Okla.,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0
68,2014,3,Tex.,0,1,5,0,0,0,1,5,0,0,0,0,3,0,0
69,2014,3,MOUNTAIN,0,2,9,0,0,0,1,6,0,3,0,0,4,0,2
70,2014,3,Ariz.,0,0,3,0,0,0,0,3,0,2,0,0,3,0,0
71,2014,3,Colo.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
72,2014,3,Idaho,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0
73,2014,3,Mont.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
74,2014,3,Nev.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
75,2014,3,N. Mex.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
76,2014,3,Utah,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0
77,2014,3,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
78,2014,3,PACIFIC,0,3,8,0,5,0,2,8,4,3,1,2,8,8,17
79,2014,3,Alaska,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0
80,2014,3,Calif.,0,1,6,0,3,0,1,7,4,3,1,2,7,2,16
81,2014,3,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
82,2014,3,Oreg.,0,1,3,0,1,0,0,1,0,0,0,0,3,6,1
83,2014,3,Wash.,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0
84,2014,3,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2014,3,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2014,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2014,3,P.R.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
88,2014,3,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
22,2014,4,UNITED STATES,16,348,"2,174",156,833,9,24,49,44,72,6,9,21,30,60
23,2014,4,NEW ENGLAND,0,118,878,8,258,1,2,8,2,7,0,0,3,0,5
24,2014,4,Conn.,0,29,251,2,105,0,0,0,0,0,0,0,1,0,1
25,2014,4,Maine,0,15,99,4,16,1,0,2,2,0,0,0,1,0,1
26,2014,4,Mass.,0,36,437,2,104,0,1,4,0,5,0,0,3,0,2
27,2014,4,N.H.,0,6,91,0,22,0,0,2,0,2,0,0,1,0,0
28,2014,4,R.I.,0,9,54,0,1,0,0,8,0,0,0,0,1,0,1
29,2014,4,Vt.,0,8,92,0,10,0,0,3,0,0,0,0,1,0,0
30,2014,4,MID. ATLANTIC,11,176,"1,004",109,403,2,8,21,15,16,1,1,7,1,6
31,2014,4,N.J.,0,46,224,5,168,0,1,5,0,5,0,0,2,0,2
32,2014,4,N.Y. (Upstate),6,46,257,20,15,0,1,5,1,3,1,0,3,1,1
33,2014,4,N.Y. City,0,2,39,0,2,1,4,13,11,8,0,0,2,0,2
34,2014,4,Pa.,5,77,540,84,218,1,1,5,3,0,0,0,3,0,1
35,2014,4,E.N. CENTRAL,0,17,221,8,27,1,2,8,5,10,0,0,4,0,3
36,2014,4,Ill.,0,2,30,0,2,0,1,5,0,5,0,0,2,0,1
37,2014,4,Ind.,0,1,13,0,0,0,0,2,0,1,0,0,1,0,2
38,2014,4,Mich.,0,2,15,2,2,0,0,2,1,2,0,0,1,0,0
39,2014,4,Ohio,0,1,7,0,3,1,1,3,4,1,0,0,2,0,0
40,2014,4,Wis.,0,13,181,6,20,0,0,3,0,1,0,0,1,0,0
41,2014,4,W.N. CENTRAL,0,3,31,1,2,0,0,3,3,4,0,0,3,1,7
42,2014,4,Iowa,0,2,27,0,0,0,0,2,0,0,0,0,1,0,0
43,2014,4,Kans.,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0
44,2014,4,Minn.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
45,2014,4,Mo.,0,0,3,0,1,0,0,1,1,1,0,0,2,1,3
46,2014,4,Nebr.,0,0,2,1,0,0,0,2,1,1,0,0,1,0,0
47,2014,4,N. Dak.,0,0,5,0,0,0,0,1,1,1,0,0,1,0,0
48,2014,4,S. Dak.,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1
49,2014,4,S. ATLANTIC,4,36,124,27,133,3,5,16,10,24,1,1,6,8,14
50,2014,4,Del.,1,7,23,9,23,1,0,2,1,0,0,0,1,0,0
51,2014,4,D.C.,N,0,0,N,N,0,0,2,0,1,0,0,1,0,0
52,2014,4,Fla.,1,2,14,4,5,0,1,3,2,7,1,1,3,4,7
53,2014,4,Ga.,0,0,4,0,0,0,1,5,0,4,0,0,2,0,1
54,2014,4,Md.,1,18,76,10,101,1,2,10,5,12,0,0,1,1,0
55,2014,4,N.C.,0,0,32,0,0,0,0,6,0,0,0,0,2,2,4
56,2014,4,S.C.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
57,2014,4,Va.,1,3,107,2,2,1,0,4,2,0,0,0,1,1,0
58,2014,4,W. Va.,0,1,19,2,2,0,0,1,0,0,0,0,1,0,2
59,2014,4,E.S. CENTRAL,0,1,9,2,3,1,1,4,3,4,0,0,2,1,3
