,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2013","Meningococcal diseases, invasive �, All groups cummulative for 2012",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2013,Mumps cummulative for 2012,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2013,Pertussis cummulative for 2012
82,2013,2,Oreg.,0,0,4,1,2,0,0,1,0,0,1,13,54,1,12
83,2013,2,Wash.,0,0,3,0,0,0,0,1,0,0,0,83,254,0,0
84,2013,2,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2013,2,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2013,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2013,2,P.R.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,2013,2,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2013,3,UNITED STATES,6,10,20,23,33,1,4,8,3,14,117,787,"1,291",392,"1,417"
23,2013,3,NEW ENGLAND,0,0,3,0,0,0,0,1,0,0,9,44,100,45,65
24,2013,3,Conn.,0,0,1,0,0,0,0,0,0,0,0,4,9,0,1
25,2013,3,Maine,0,0,1,0,0,0,0,0,0,0,3,14,37,20,9
26,2013,3,Mass.,0,0,2,0,0,0,0,1,0,0,0,12,28,0,20
27,2013,3,N.H.,0,0,0,0,0,0,0,1,0,0,0,2,19,1,7
28,2013,3,R.I.,0,0,0,0,0,0,0,1,0,0,2,1,20,2,2
29,2013,3,Vt.,0,0,1,0,0,0,0,0,0,0,4,9,42,22,26
30,2013,3,MID. ATLANTIC,1,1,4,1,4,1,0,3,1,0,42,105,183,79,254
31,2013,3,N.J.,0,0,2,0,1,0,0,0,0,0,0,15,40,0,50
32,2013,3,N.Y. (Upstate),1,0,2,1,0,0,0,1,0,0,30,46,109,43,60
33,2013,3,N.Y. City,0,0,2,0,2,0,0,3,0,0,0,7,18,0,58
34,2013,3,Pa.,0,0,2,0,1,1,0,1,1,0,12,33,64,36,86
35,2013,3,E.N. CENTRAL,0,1,4,1,5,0,1,3,0,6,27,175,356,75,541
36,2013,3,Ill.,0,0,3,0,1,0,0,2,0,2,0,36,64,6,149
37,2013,3,Ind.,0,0,1,1,0,0,0,2,0,1,0,8,18,0,15
38,2013,3,Mich.,0,0,2,0,0,0,0,1,0,2,3,13,40,16,35
39,2013,3,Ohio,0,0,2,0,3,0,0,1,0,1,24,16,37,43,43
40,2013,3,Wis.,0,0,2,0,1,0,0,1,0,0,0,94,262,10,299
41,2013,3,W.N. CENTRAL,1,1,4,2,2,0,0,2,0,1,8,120,252,35,169
42,2013,3,Iowa,0,0,1,0,0,0,0,1,0,0,0,32,100,4,20
43,2013,3,Kans.,0,0,1,0,0,0,0,1,0,0,0,15,30,0,24
44,2013,3,Minn.,0,0,3,0,0,0,0,1,0,0,0,47,141,0,70
45,2013,3,Mo.,1,0,3,2,2,0,0,1,0,1,5,15,45,20,52
46,2013,3,Nebr.,0,0,1,0,0,0,0,1,0,0,3,2,19,10,1
47,2013,3,N. Dak.,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0
48,2013,3,S. Dak.,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2
49,2013,3,S. ATLANTIC,1,1,5,7,4,0,0,3,1,2,11,53,104,40,67
50,2013,3,Del.,0,0,1,0,0,0,0,0,0,0,0,1,4,0,3
51,2013,3,D.C.,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1
52,2013,3,Fla.,1,1,3,4,2,0,0,1,0,1,3,11,26,11,18
53,2013,3,Ga.,0,0,2,0,0,0,0,2,0,0,0,4,15,8,1
54,2013,3,Md.,0,0,1,0,2,0,0,1,1,0,3,6,18,9,17
55,2013,3,N.C.,0,0,2,2,0,0,0,1,0,0,1,7,74,1,5
56,2013,3,S.C.,0,0,1,0,0,0,0,1,0,0,4,4,14,11,3
57,2013,3,Va.,0,0,2,1,0,0,0,1,0,1,0,11,25,0,15
58,2013,3,W. Va.,0,0,2,0,0,0,0,1,0,0,0,1,12,0,4
59,2013,3,E.S. CENTRAL,0,0,2,2,0,0,0,1,1,0,4,20,48,20,40
60,2013,3,Ala.,0,0,1,0,0,0,0,1,1,0,1,4,9,8,3
61,2013,3,Ky.,0,0,1,0,0,0,0,1,0,0,0,8,35,0,21
62,2013,3,Miss.,0,0,1,2,0,0,0,1,0,0,0,1,4,0,5
63,2013,3,Tenn.,0,0,1,0,0,0,0,1,0,0,3,5,14,12,11
64,2013,3,W.S. CENTRAL,0,1,4,0,0,0,0,2,0,0,1,47,118,2,14
65,2013,3,Ark.,0,0,1,0,0,0,0,1,0,0,0,2,22,0,1
66,2013,3,La.,0,0,0,0,0,0,0,1,0,0,0,1,7,0,1
67,2013,3,Okla.,0,0,2,0,0,0,0,1,0,0,0,0,34,0,0
68,2013,3,Tex.,0,0,4,0,0,0,0,2,0,0,1,40,103,2,12
69,2013,3,MOUNTAIN,0,1,3,1,1,0,0,2,0,1,10,114,167,63,182
70,2013,3,Ariz.,0,0,1,0,0,0,0,2,0,0,2,15,33,9,50
71,2013,3,Colo.,0,0,2,1,1,0,0,2,0,1,0,29,66,29,42
72,2013,3,Idaho,0,0,1,0,0,0,0,0,0,0,5,3,14,9,9
73,2013,3,Mont.,0,0,1,0,0,0,0,1,0,0,3,8,48,16,8
74,2013,3,Nev.,0,0,1,0,0,0,0,0,0,0,0,1,6,0,3
75,2013,3,N. Mex.,0,0,1,0,0,0,0,0,0,0,0,15,31,0,16
76,2013,3,Utah,0,0,1,0,0,0,0,1,0,0,0,28,52,0,54
77,2013,3,Wyo.,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0
78,2013,3,PACIFIC,3,2,9,9,17,0,0,2,0,4,5,126,301,33,85
79,2013,3,Alaska,0,0,1,0,0,0,0,1,0,0,5,5,24,29,5
80,2013,3,Calif.,3,1,6,8,14,0,0,2,0,4,0,13,27,0,44
